date,Belegte Betten,Freie Betten,Notfallreserve,COVID-19-Fälle,IdBundesland
2020-12-01T12:15:00+01:00,909,332,450,187,7
2020-11-30T12:15:00+01:00,894,348,456,189,7
2020-11-29T12:15:00+01:00,882,357,455,185,7
2020-11-28T12:15:00+01:00,885,355,456,183,7
2020-11-27T12:15:00+01:00,909,329,460,187,7
2020-11-26T12:15:00+01:00,897,356,456,188,7
2020-11-25T12:15:00+01:00,913,342,448,178,7
2020-11-24T12:15:00+01:00,900,370,468,176,7
2020-11-23T12:15:00+01:00,881,391,465,163,7
2020-11-22T12:15:00+01:00,891,381,466,151,7
2020-11-21T12:15:00+01:00,907,368,465,151,7
2020-11-20T12:15:00+01:00,898,388,464,156,7
2020-11-19T12:15:00+01:00,894,396,467,145,7
2020-11-18T12:15:00+01:00,887,407,470,150,7
2020-11-17T12:15:00+01:00,894,440,475,138,7
2020-11-16T12:15:00+01:00,890,445,467,129,7
2020-11-15T12:15:00+01:00,899,451,475,138,7
2020-11-14T12:15:00+01:00,948,407,473,134,7
2020-11-13T12:15:00+01:00,934,416,469,135,7
2020-11-12T12:15:00+01:00,933,420,474,131,7
2020-11-11T12:15:00+01:00,907,457,465,116,7
2020-11-10T12:15:00+01:00,887,479,477,102,7
2020-11-09T12:15:00+01:00,880,492,470,103,7
2020-11-08T12:15:00+01:00,864,498,476,95,7
2020-11-07T12:15:00+01:00,889,472,474,89,7
2020-11-06T12:15:00+01:00,891,466,483,86,7
2020-11-05T12:15:00+01:00,895,473,504,89,7
2020-11-04T12:15:00+01:00,893,501,489,89,7
2020-11-03T12:15:00+01:00,893,499,512,83,7
2020-11-02T12:15:00+01:00,904,496,514,77,7
2020-11-01T12:15:00+01:00,909,496,519,73,7
2020-10-31T12:15:00+01:00,922,481,522,69,7
2020-10-30T12:15:00+01:00,920,491,524,63,7
2020-10-29T12:15:00+01:00,928,484,517,61,7
2020-10-28T12:15:00+01:00,918,492,522,61,7
2020-10-27T12:15:00+01:00,919,490,524,55,7
2020-10-26T12:15:00+01:00,878,529,523,54,7
2020-10-25T12:15:00+01:00,858,546,523,53,7
2020-10-24T12:15:00+02:00,886,527,522,49,7
2020-10-23T12:15:00+02:00,910,513,525,48,7
2020-10-22T12:15:00+02:00,925,509,518,45,7
2020-10-21T12:15:00+02:00,911,525,518,40,7
2020-10-20T12:15:00+02:00,904,540,521,40,7
2020-10-19T12:15:00+02:00,870,570,523,33,7
2020-10-18T12:15:00+02:00,858,573,515,28,7
2020-10-17T12:15:00+02:00,879,553,513,28,7
2020-10-16T12:15:00+02:00,891,551,506,26,7
2020-10-15T12:15:00+02:00,882,561,504,25,7
2020-10-14T12:15:00+02:00,887,554,502,23,7
2020-10-13T12:15:00+02:00,860,594,514,19,7
2020-10-12T12:15:00+02:00,860,587,514,20,7
2020-10-11T12:15:00+02:00,880,564,516,18,7
2020-10-10T12:15:00+02:00,922,531,513,19,7
2020-10-09T12:15:00+02:00,919,543,515,17,7
2020-10-08T12:15:00+02:00,949,515,513,15,7
2020-10-07T12:15:00+02:00,919,543,515,13,7
2020-10-06T12:15:00+02:00,884,579,520,13,7
2020-10-05T12:15:00+02:00,854,607,517,14,7
2020-10-04T12:15:00+02:00,860,592,534,13,7
2020-10-03T12:15:00+02:00,904,547,517,12,7
2020-10-02T12:15:00+02:00,924,532,519,12,7
2020-10-01T12:15:00+02:00,914,551,510,12,7
2020-09-30T12:15:00+02:00,923,541,509,10,7
2020-09-29T12:15:00+02:00,938,527,510,12,7
2020-09-28T12:15:00+02:00,904,561,506,13,7
2020-09-27T12:15:00+02:00,897,573,510,14,7
2020-09-26T12:15:00+02:00,930,537,526,12,7
2020-09-25T12:15:00+02:00,955,515,513,11,7
2020-09-24T12:15:00+02:00,948,517,517,8,7
2020-09-23T12:15:00+02:00,965,499,532,10,7
2020-09-22T12:15:00+02:00,979,484,533,8,7
2020-09-21T12:15:00+02:00,897,569,546,7,7
2020-09-20T12:15:00+02:00,895,556,534,9,7
2020-09-19T12:15:00+02:00,940,508,531,10,7
2020-09-18T12:15:00+02:00,916,543,538,7,7
2020-09-17T12:15:00+02:00,951,505,533,8,7
2020-09-16T12:15:00+02:00,964,497,538,10,7
2020-09-15T12:15:00+02:00,949,511,536,6,7
2020-09-14T12:15:00+02:00,901,563,533,4,7
2020-09-13T12:15:00+02:00,898,565,528,6,7
2020-09-12T12:15:00+02:00,901,560,528,4,7
2020-09-11T12:15:00+02:00,924,539,529,5,7
2020-09-10T12:15:00+02:00,948,516,524,8,7
2020-09-09T12:15:00+02:00,929,538,526,11,7
2020-09-08T12:15:00+02:00,916,545,517,8,7
2020-09-07T12:15:00+02:00,899,562,516,7,7
2020-09-06T12:15:00+02:00,868,592,530,7,7
2020-09-05T12:15:00+02:00,898,560,524,7,7
2020-09-04T12:15:00+02:00,908,552,515,5,7
