date,Belegte Betten,Freie Betten,Notfallreserve,COVID-19-Fälle,IdBundesland
2020-12-01T12:15:00+01:00,1112,153,428,305,11
2020-11-30T12:15:00+01:00,1097,172,427,310,11
2020-11-29T12:15:00+01:00,1103,157,424,301,11
2020-11-28T12:15:00+01:00,1117,147,424,300,11
2020-11-27T12:15:00+01:00,1124,143,422,318,11
2020-11-26T12:15:00+01:00,1091,186,422,297,11
2020-11-25T12:15:00+01:00,1099,185,422,299,11
2020-11-24T12:15:00+01:00,1077,196,423,305,11
2020-11-23T12:15:00+01:00,1076,205,418,309,11
2020-11-22T12:15:00+01:00,1081,189,419,310,11
2020-11-21T12:15:00+01:00,1101,170,420,305,11
2020-11-20T12:15:00+01:00,1122,156,420,308,11
2020-11-19T12:15:00+01:00,1117,154,421,304,11
2020-11-18T12:15:00+01:00,1105,166,444,302,11
2020-11-17T12:15:00+01:00,1116,150,446,306,11
2020-11-16T12:15:00+01:00,1099,161,447,291,11
2020-11-15T12:15:00+01:00,1062,189,444,287,11
2020-11-14T12:15:00+01:00,1070,184,435,280,11
2020-11-13T12:15:00+01:00,1095,165,435,283,11
2020-11-12T12:15:00+01:00,1103,161,435,274,11
2020-11-11T12:15:00+01:00,1105,151,437,272,11
2020-11-10T12:15:00+01:00,1088,168,440,269,11
2020-11-09T12:15:00+01:00,1049,203,442,265,11
2020-11-08T12:15:00+01:00,1046,196,446,256,11
2020-11-07T12:15:00+01:00,1079,162,441,251,11
2020-11-06T12:15:00+01:00,1072,282,441,243,11
2020-11-05T12:15:00+01:00,1073,166,441,240,11
2020-11-04T12:15:00+01:00,1073,151,450,224,11
2020-11-03T12:15:00+01:00,1092,131,454,221,11
2020-11-02T12:15:00+01:00,1057,170,462,207,11
2020-11-01T12:15:00+01:00,1043,183,460,191,11
2020-10-31T12:15:00+01:00,1052,179,459,174,11
2020-10-30T12:15:00+01:00,1089,150,459,175,11
2020-10-29T12:15:00+01:00,1077,159,458,156,11
2020-10-28T12:15:00+01:00,1062,169,459,156,11
2020-10-27T12:15:00+01:00,1066,175,458,139,11
2020-10-26T12:15:00+01:00,1044,192,460,125,11
2020-10-25T12:15:00+01:00,1026,201,464,124,11
2020-10-24T12:15:00+02:00,1054,174,459,120,11
2020-10-23T12:15:00+02:00,1071,163,459,110,11
2020-10-22T12:15:00+02:00,1060,176,460,101,11
2020-10-21T12:15:00+02:00,1056,183,454,94,11
2020-10-20T12:15:00+02:00,1042,196,451,90,11
2020-10-19T12:15:00+02:00,1009,223,451,84,11
2020-10-18T12:15:00+02:00,1008,228,451,71,11
2020-10-17T12:15:00+02:00,1025,211,455,73,11
2020-10-16T12:15:00+02:00,1046,190,449,63,11
2020-10-15T12:15:00+02:00,1036,196,449,68,11
2020-10-14T12:15:00+02:00,1069,166,449,57,11
2020-10-13T12:15:00+02:00,1046,189,451,57,11
2020-10-12T12:15:00+02:00,1019,211,449,50,11
2020-10-11T12:15:00+02:00,1006,220,449,49,11
2020-10-10T12:15:00+02:00,1037,187,445,44,11
2020-10-09T12:15:00+02:00,1031,195,446,38,11
2020-10-08T12:15:00+02:00,1038,193,446,40,11
2020-10-07T12:15:00+02:00,1030,198,448,42,11
2020-10-06T12:15:00+02:00,1005,226,447,44,11
2020-10-05T12:15:00+02:00,996,235,445,40,11
2020-10-04T12:15:00+02:00,988,242,444,38,11
2020-10-03T12:15:00+02:00,1004,222,447,39,11
2020-10-02T12:15:00+02:00,1012,213,445,37,11
2020-10-01T12:15:00+02:00,1032,187,445,35,11
2020-09-30T12:15:00+02:00,1043,187,446,34,11
2020-09-29T12:15:00+02:00,1057,186,446,31,11
2020-09-28T12:15:00+02:00,1007,237,447,30,11
2020-09-27T12:15:00+02:00,1016,225,446,23,11
2020-09-26T12:15:00+02:00,1063,177,456,25,11
2020-09-25T12:15:00+02:00,1037,179,448,25,11
2020-09-24T12:15:00+02:00,1044,184,456,23,11
2020-09-23T12:15:00+02:00,1037,189,450,23,11
2020-09-22T12:15:00+02:00,1020,203,448,22,11
2020-09-21T12:15:00+02:00,1003,219,449,19,11
2020-09-20T12:15:00+02:00,1025,191,448,16,11
2020-09-19T12:15:00+02:00,1038,176,449,16,11
2020-09-18T12:15:00+02:00,1039,185,453,16,11
2020-09-17T12:15:00+02:00,1067,192,455,14,11
2020-09-16T12:15:00+02:00,1068,190,455,15,11
2020-09-15T12:15:00+02:00,1072,192,450,14,11
2020-09-14T12:15:00+02:00,1047,221,450,16,11
2020-09-13T12:15:00+02:00,1069,192,446,15,11
2020-09-12T12:15:00+02:00,1083,180,457,15,11
2020-09-11T12:15:00+02:00,1075,199,455,15,11
2020-09-10T12:15:00+02:00,1061,209,455,16,11
2020-09-09T12:15:00+02:00,1070,207,455,16,11
2020-09-08T12:15:00+02:00,1081,193,454,16,11
2020-09-07T12:15:00+02:00,1040,233,454,16,11
2020-09-06T12:15:00+02:00,1040,229,454,14,11
2020-09-05T12:15:00+02:00,1064,204,454,14,11
2020-09-04T12:15:00+02:00,1045,222,454,14,11
2020-09-03T12:15:00+02:00,1067,212,453,14,11
2020-09-02T12:15:00+02:00,1076,203,455,15,11
2020-09-01T12:15:00+02:00,1050,225,458,15,11
2020-08-31T12:15:00+02:00,1013,263,448,18,11
2020-08-30T12:15:00+02:00,1039,225,449,18,11
2020-08-29T12:15:00+02:00,1047,217,449,21,11
2020-08-28T12:15:00+02:00,1065,209,448,21,11
2020-08-27T12:15:00+02:00,1082,196,446,22,11
2020-08-26T12:15:00+02:00,1055,217,447,20,11
2020-08-25T12:15:00+02:00,1046,230,447,19,11
2020-08-24T12:15:00+02:00,1007,252,447,20,11
2020-08-23T12:15:00+02:00,1059,208,446,17,11
2020-08-22T12:15:00+02:00,1056,212,447,14,11
2020-08-21T12:15:00+02:00,1088,185,449,15,11
2020-08-20T12:15:00+02:00,1094,185,451,15,11
2020-08-19T12:15:00+02:00,1082,198,448,15,11
2020-08-18T12:15:00+02:00,1057,225,449,13,11
2020-08-17T12:15:00+02:00,1023,246,447,14,11
2020-08-16T12:15:00+02:00,1026,250,445,14,11
2020-08-15T12:15:00+02:00,1030,246,445,14,11
2020-08-14T12:15:00+02:00,1052,227,448,13,11
2020-08-13T12:15:00+02:00,1050,226,450,13,11
2020-08-12T12:15:00+02:00,1052,224,451,17,11
2020-08-11T12:15:00+02:00,1023,249,454,14,11
2020-08-10T12:15:00+02:00,985,283,452,14,11
2020-08-09T12:15:00+02:00,984,272,449,14,11
2020-08-08T12:15:00+02:00,1009,254,447,14,11
2020-08-07T12:15:00+02:00,1033,235,439,14,11
2020-08-06T12:15:00+02:00,1050,227,416,15,11
2020-08-05T12:15:00+02:00,1038,233,413,16,11
2020-08-04T12:15:00+02:00,996,300,441,17,11
2020-08-03T12:15:00+02:00,996,361,0,21,11
2020-08-02T12:15:00+02:00,1018,344,0,19,11
2020-08-01T12:15:00+02:00,1056,308,0,18,11
2020-07-31T12:15:00+02:00,1045,315,0,16,11
2020-07-30T12:15:00+02:00,1049,318,0,18,11
2020-07-29T12:15:00+02:00,1055,315,0,15,11
2020-07-28T12:15:00+02:00,1042,337,0,18,11
2020-07-27T12:15:00+02:00,1037,343,0,18,11
2020-07-26T12:15:00+02:00,1024,342,0,19,11
2020-07-25T12:15:00+02:00,1030,341,0,18,11
2020-07-24T12:15:00+02:00,1049,329,0,18,11
2020-07-23T12:15:00+02:00,1042,341,0,22,11
2020-07-22T12:15:00+02:00,1085,321,0,18,11
2020-07-21T12:15:00+02:00,1060,354,0,21,11
2020-07-20T12:15:00+02:00,1048,358,0,19,11
2020-07-19T12:15:00+02:00,1034,357,0,24,11
2020-07-18T12:15:00+02:00,1055,334,0,19,11
2020-07-17T12:15:00+02:00,1083,339,0,21,11
2020-07-16T12:15:00+02:00,1089,335,0,23,11
2020-07-15T12:15:00+02:00,1089,331,0,22,11
2020-07-14T12:15:00+02:00,1084,337,0,23,11
2020-07-13T12:15:00+02:00,1038,372,0,21,11
2020-07-12T12:15:00+02:00,1045,354,0,25,11
2020-07-11T12:15:00+02:00,1090,337,0,27,11
2020-07-10T12:15:00+02:00,1100,333,0,32,11
2020-07-09T12:15:00+02:00,1111,324,0,37,11
