date,Belegte Betten,Freie Betten,Notfallreserve,COVID-19-Fälle,IdBundesland
2020-12-01T12:15:00+01:00,1819,254,914,350,6
2020-11-30T12:15:00+01:00,1771,280,926,352,6
2020-11-29T12:15:00+01:00,1782,265,929,355,6
2020-11-28T12:15:00+01:00,1771,274,922,358,6
2020-11-27T12:15:00+01:00,1786,275,931,345,6
2020-11-26T12:15:00+01:00,1773,299,928,343,6
2020-11-25T12:15:00+01:00,1768,313,915,324,6
2020-11-24T12:15:00+01:00,1774,303,912,327,6
2020-11-23T12:15:00+01:00,1720,347,916,329,6
2020-11-22T12:15:00+01:00,1704,348,922,323,6
2020-11-21T12:15:00+01:00,1730,329,907,325,6
2020-11-20T12:15:00+01:00,1758,311,901,326,6
2020-11-19T12:15:00+01:00,1763,302,897,306,6
2020-11-18T12:15:00+01:00,1755,304,899,300,6
2020-11-17T12:15:00+01:00,1711,371,909,289,6
2020-11-16T12:15:00+01:00,1682,405,913,284,6
2020-11-15T12:15:00+01:00,1706,366,925,285,6
2020-11-14T12:15:00+01:00,1717,360,962,289,6
2020-11-13T12:15:00+01:00,1758,334,957,278,6
2020-11-12T12:15:00+01:00,1762,346,959,275,6
2020-11-11T12:15:00+01:00,1739,372,951,274,6
2020-11-10T12:15:00+01:00,1714,396,952,275,6
2020-11-09T12:15:00+01:00,1669,426,955,271,6
2020-11-08T12:15:00+01:00,1652,434,962,266,6
2020-11-07T12:15:00+01:00,1650,443,959,253,6
2020-11-06T12:15:00+01:00,1706,394,961,252,6
2020-11-05T12:15:00+01:00,1736,395,964,243,6
2020-11-04T12:15:00+01:00,1721,413,965,228,6
2020-11-03T12:15:00+01:00,1689,460,975,219,6
2020-11-02T12:15:00+01:00,1673,469,978,204,6
2020-11-01T12:15:00+01:00,1698,430,1005,194,6
2020-10-31T12:15:00+01:00,1739,383,1012,183,6
2020-10-30T12:15:00+01:00,1744,405,1004,178,6
2020-10-29T12:15:00+01:00,1749,419,1002,164,6
2020-10-28T12:15:00+01:00,1769,397,1020,155,6
