date,Belegte Betten,Freie Betten,Notfallreserve,COVID-19-Fälle,IdBundesland
2020-12-01T12:15:00+01:00,5286,1256,2553,958,5
2020-11-30T12:15:00+01:00,5213,1318,2564,966,5
2020-11-29T12:15:00+01:00,5241,1260,2564,963,5
2020-11-28T12:15:00+01:00,5309,1230,2570,961,5
2020-11-27T12:15:00+01:00,5393,1155,2559,955,5
2020-11-26T12:15:00+01:00,5432,1132,2523,964,5
2020-11-25T12:15:00+01:00,5421,1165,2515,963,5
2020-11-24T12:15:00+01:00,5388,1200,2523,978,5
2020-11-23T12:15:00+01:00,5266,1309,2547,981,5
2020-11-22T12:15:00+01:00,5253,1353,2539,974,5
2020-11-21T12:15:00+01:00,5270,1316,2534,958,5
2020-11-20T12:15:00+01:00,5367,1254,2537,934,5
2020-11-19T12:15:00+01:00,5372,1244,2531,951,5
2020-11-18T12:15:00+01:00,5372,1249,2553,935,5
2020-11-17T12:15:00+01:00,5327,1296,2573,927,5
2020-11-16T12:15:00+01:00,5248,1350,2585,920,5
2020-11-15T12:15:00+01:00,5200,1376,2587,897,5
2020-11-14T12:15:00+01:00,5257,1319,2609,877,5
2020-11-13T12:15:00+01:00,5365,1259,2618,893,5
2020-11-12T12:15:00+01:00,5328,1344,2630,860,5
2020-11-11T12:15:00+01:00,5306,1371,2647,850,5
2020-11-10T12:15:00+01:00,5303,1364,2643,842,5
2020-11-09T12:15:00+01:00,5198,1475,2645,826,5
2020-11-08T12:15:00+01:00,5150,1477,2632,805,5
2020-11-07T12:15:00+01:00,5221,1410,2639,813,5
2020-11-06T12:15:00+01:00,5282,1400,2635,785,5
2020-11-05T12:15:00+01:00,5321,1436,2736,747,5
2020-11-04T12:15:00+01:00,5365,1423,2773,735,5
2020-11-03T12:15:00+01:00,5312,1491,2794,689,5
2020-11-02T12:15:00+01:00,5162,1665,2786,639,5
2020-11-01T12:15:00+01:00,5160,1658,2798,590,5
2020-10-31T12:15:00+01:00,5265,1570,2793,580,5
2020-10-30T12:15:00+01:00,5369,1508,2781,526,5
2020-10-29T12:15:00+01:00,5344,1547,2794,471,5
2020-10-28T12:15:00+01:00,5321,1575,2786,435,5
2020-10-27T12:15:00+01:00,5269,1608,2806,411,5
2020-10-26T12:15:00+01:00,5138,1737,2779,374,5
2020-10-25T12:15:00+01:00,5074,1735,2765,353,5
2020-10-24T12:15:00+02:00,5126,1680,2780,321,5
2020-10-23T12:15:00+02:00,5244,1599,2762,295,5
2020-10-22T12:15:00+02:00,5174,1717,2724,279,5
2020-10-21T12:15:00+02:00,5169,1862,2624,256,5
2020-10-20T12:15:00+02:00,5179,1958,2585,255,5
2020-10-19T12:15:00+02:00,5073,2071,2606,245,5
2020-10-18T12:15:00+02:00,5015,2084,2610,226,5
2020-10-17T12:15:00+02:00,5101,2011,2617,209,5
2020-10-16T12:15:00+02:00,5174,1974,2617,202,5
2020-10-15T12:15:00+02:00,5184,1976,2593,195,5
2020-10-14T12:15:00+02:00,5186,1947,2570,185,5
2020-10-13T12:15:00+02:00,5185,1963,2569,198,5
2020-10-12T12:15:00+02:00,5133,2023,2557,191,5
2020-10-11T12:15:00+02:00,5153,1957,2522,174,5
