date,Belegte Betten,Freie Betten,Notfallreserve,COVID-19-Fälle,IdBundesland
2020-12-01T12:15:00+01:00,1743,550,1066,195,3
2020-11-30T12:15:00+01:00,1681,594,1070,180,3
2020-11-29T12:15:00+01:00,1681,571,1084,186,3
2020-11-28T12:15:00+01:00,1743,530,1070,183,3
2020-11-27T12:15:00+01:00,1779,529,1058,187,3
2020-11-26T12:15:00+01:00,1742,562,1062,194,3
2020-11-25T12:15:00+01:00,1723,572,1067,195,3
2020-11-24T12:15:00+01:00,1732,568,1070,193,3
2020-11-23T12:15:00+01:00,1645,644,1074,196,3
2020-11-22T12:15:00+01:00,1647,621,1087,196,3
2020-11-21T12:15:00+01:00,1700,582,1083,186,3
2020-11-20T12:15:00+01:00,1713,599,1085,199,3
2020-11-19T12:15:00+01:00,1705,602,1077,202,3
2020-11-18T12:15:00+01:00,1727,587,1078,209,3
2020-11-17T12:15:00+01:00,1730,618,1067,196,3
2020-11-16T12:15:00+01:00,1691,655,1069,195,3
2020-11-15T12:15:00+01:00,1697,623,1085,198,3
2020-11-14T12:15:00+01:00,1694,648,1068,200,3
2020-11-13T12:15:00+01:00,1720,633,1069,198,3
2020-11-12T12:15:00+01:00,1728,634,1074,191,3
2020-11-11T12:15:00+01:00,1711,657,1073,189,3
2020-11-10T12:15:00+01:00,1669,692,1065,178,3
2020-11-09T12:15:00+01:00,1652,804,988,175,3
2020-11-08T12:15:00+01:00,1669,767,999,170,3
2020-11-07T12:15:00+01:00,1742,704,995,163,3
2020-11-06T12:15:00+01:00,1720,738,986,155,3
2020-11-05T12:15:00+01:00,1693,799,997,142,3
2020-11-04T12:15:00+01:00,1706,807,1001,134,3
2020-11-03T12:15:00+01:00,1704,787,998,123,3
2020-11-02T12:15:00+01:00,1657,821,962,129,3
2020-11-01T12:15:00+01:00,1647,831,979,118,3
2020-10-31T12:15:00+01:00,1684,790,976,125,3
2020-10-30T12:15:00+01:00,1765,725,963,121,3
2020-10-29T12:15:00+01:00,1767,736,972,108,3
2020-10-28T12:15:00+01:00,1766,754,970,101,3
2020-10-27T12:15:00+01:00,1771,751,974,98,3
2020-10-26T12:15:00+01:00,1707,847,952,88,3
2020-10-25T12:15:00+01:00,1731,796,956,77,3
2020-10-24T12:15:00+02:00,1734,791,961,77,3
2020-10-23T12:15:00+02:00,1774,792,951,66,3
2020-10-22T12:15:00+02:00,1706,870,952,60,3
2020-10-21T12:15:00+02:00,1723,867,941,51,3
2020-10-20T12:15:00+02:00,1725,888,945,48,3
2020-10-19T12:15:00+02:00,1685,926,949,50,3
2020-10-18T12:15:00+02:00,1682,904,956,48,3
2020-10-17T12:15:00+02:00,1729,869,956,43,3
2020-10-16T12:15:00+02:00,1740,872,960,44,3
2020-10-15T12:15:00+02:00,1762,845,965,44,3
2020-10-14T12:15:00+02:00,1739,865,960,36,3
2020-10-13T12:15:00+02:00,1746,856,961,40,3
2020-10-12T12:15:00+02:00,1682,911,961,37,3
2020-10-11T12:15:00+02:00,1710,912,973,34,3
2020-10-10T12:15:00+02:00,1737,880,976,35,3
2020-10-09T12:15:00+02:00,1784,821,979,36,3
2020-10-08T12:15:00+02:00,1785,825,984,31,3
2020-10-07T12:15:00+02:00,1817,827,979,31,3
2020-10-06T12:15:00+02:00,1769,870,984,28,3
2020-10-05T12:15:00+02:00,1706,930,983,37,3
2020-10-04T12:15:00+02:00,1737,895,981,33,3
2020-10-03T12:15:00+02:00,1762,880,988,30,3
2020-10-02T12:15:00+02:00,1791,852,991,25,3
