date,Belegte Betten,Freie Betten,Notfallreserve
2020-12-01T12:15:00+01:00,1743,550,1066
2020-11-30T12:15:00+01:00,1681,594,1070
2020-11-29T12:15:00+01:00,1681,571,1084
2020-11-28T12:15:00+01:00,1743,530,1070
2020-11-27T12:15:00+01:00,1779,529,1058
2020-11-26T12:15:00+01:00,1742,562,1062
2020-11-25T12:15:00+01:00,1723,572,1067
2020-11-24T12:15:00+01:00,1732,568,1070
2020-11-23T12:15:00+01:00,1645,644,1074
2020-11-22T12:15:00+01:00,1647,621,1087
2020-11-21T12:15:00+01:00,1700,582,1083
2020-11-20T12:15:00+01:00,1713,599,1085
2020-11-19T12:15:00+01:00,1705,602,1077
2020-11-18T12:15:00+01:00,1727,587,1078
2020-11-17T12:15:00+01:00,1730,618,1067
2020-11-16T12:15:00+01:00,1691,655,1069
2020-11-15T12:15:00+01:00,1697,623,1085
2020-11-14T12:15:00+01:00,1694,648,1068
2020-11-13T12:15:00+01:00,1720,633,1069
2020-11-12T12:15:00+01:00,1728,634,1074
2020-11-11T12:15:00+01:00,1711,657,1073
2020-11-10T12:15:00+01:00,1669,692,1065
2020-11-09T12:15:00+01:00,1652,804,988
2020-11-08T12:15:00+01:00,1669,767,999
2020-11-07T12:15:00+01:00,1742,704,995
2020-11-06T12:15:00+01:00,1720,738,986
2020-11-05T12:15:00+01:00,1693,799,997
2020-11-04T12:15:00+01:00,1706,807,1001
2020-11-03T12:15:00+01:00,1704,787,998
2020-11-02T12:15:00+01:00,1657,821,962
2020-11-01T12:15:00+01:00,1647,831,979
2020-10-31T12:15:00+01:00,1684,790,976
2020-10-30T12:15:00+01:00,1765,725,963
2020-10-29T12:15:00+01:00,1767,736,972
2020-10-28T12:15:00+01:00,1766,754,970
2020-10-27T12:15:00+01:00,1771,751,974
2020-10-26T12:15:00+01:00,1707,847,952
2020-10-25T12:15:00+01:00,1731,796,956
2020-10-24T12:15:00+02:00,1734,791,961
2020-10-23T12:15:00+02:00,1774,792,951
2020-10-22T12:15:00+02:00,1706,870,952
2020-10-21T12:15:00+02:00,1723,867,941
2020-10-20T12:15:00+02:00,1725,888,945
2020-10-19T12:15:00+02:00,1685,926,949
2020-10-18T12:15:00+02:00,1682,904,956
2020-10-17T12:15:00+02:00,1729,869,956
2020-10-16T12:15:00+02:00,1740,872,960
2020-10-15T12:15:00+02:00,1762,845,965
2020-10-14T12:15:00+02:00,1739,865,960
2020-10-13T12:15:00+02:00,1746,856,961
2020-10-12T12:15:00+02:00,1682,911,961
2020-10-11T12:15:00+02:00,1710,912,973
2020-10-10T12:15:00+02:00,1737,880,976
2020-10-09T12:15:00+02:00,1784,821,979
2020-10-08T12:15:00+02:00,1785,825,984
2020-10-07T12:15:00+02:00,1817,827,979
2020-10-06T12:15:00+02:00,1769,870,984
2020-10-05T12:15:00+02:00,1706,930,983
2020-10-04T12:15:00+02:00,1737,895,981
2020-10-03T12:15:00+02:00,1762,880,988
2020-10-02T12:15:00+02:00,1791,852,991
2020-10-01T12:15:00+02:00,1801,853,993
2020-09-30T12:15:00+02:00,1815,846,1017
2020-09-29T12:15:00+02:00,1788,884,1013
2020-09-28T12:15:00+02:00,1716,955,1006
2020-09-27T12:15:00+02:00,1714,895,1056
2020-09-26T12:15:00+02:00,1809,810,1062
2020-09-25T12:15:00+02:00,1812,813,1082
2020-09-24T12:15:00+02:00,1782,845,1067
2020-09-23T12:15:00+02:00,1811,826,1066
2020-09-22T12:15:00+02:00,1823,811,1066
2020-09-21T12:15:00+02:00,1760,866,1068
2020-09-20T12:15:00+02:00,1738,874,1081
2020-09-19T12:15:00+02:00,1791,831,1076
2020-09-18T12:15:00+02:00,1828,810,1070
2020-09-17T12:15:00+02:00,1854,797,1066
2020-09-16T12:15:00+02:00,1873,783,1064
2020-09-15T12:15:00+02:00,1820,823,1066
2020-09-14T12:15:00+02:00,1757,880,1067
2020-09-13T12:15:00+02:00,1757,865,1082
2020-09-12T12:15:00+02:00,1839,799,1087
2020-09-11T12:15:00+02:00,1889,773,1073
2020-09-10T12:15:00+02:00,1858,802,1082
2020-09-09T12:15:00+02:00,1823,828,1075
2020-09-08T12:15:00+02:00,1813,844,1075
2020-09-07T12:15:00+02:00,1765,892,1070
2020-09-06T12:15:00+02:00,1731,897,1075
2020-09-05T12:15:00+02:00,1792,839,1077
2020-09-04T12:15:00+02:00,1784,873,1069
2020-09-03T12:15:00+02:00,1811,861,1077
2020-09-02T12:15:00+02:00,1814,853,1080
2020-09-01T12:15:00+02:00,1820,846,1078
2020-08-31T12:15:00+02:00,1747,908,1069
2020-08-30T12:15:00+02:00,1711,915,1084
2020-08-29T12:15:00+02:00,1782,854,1085
2020-08-28T12:15:00+02:00,1824,826,1069
2020-08-27T12:15:00+02:00,1814,858,1069
2020-08-26T12:15:00+02:00,1832,838,1067
2020-08-25T12:15:00+02:00,1833,832,1071
2020-08-24T12:15:00+02:00,1743,898,1186
2020-08-23T12:15:00+02:00,1787,845,1205
2020-08-22T12:15:00+02:00,1813,826,1186
2020-08-21T12:15:00+02:00,1828,826,1253
2020-08-20T12:15:00+02:00,1841,826,1249
2020-08-19T12:15:00+02:00,1860,804,1258
2020-08-18T12:15:00+02:00,1844,816,1257
2020-08-17T12:15:00+02:00,1770,887,1249
2020-08-16T12:15:00+02:00,1734,892,1247
2020-08-15T12:15:00+02:00,1761,865,1254
2020-08-14T12:15:00+02:00,1791,852,1263
2020-08-13T12:15:00+02:00,1792,854,1292
2020-08-12T12:15:00+02:00,1768,874,1297
2020-08-11T12:15:00+02:00,1760,870,1277
2020-08-10T12:15:00+02:00,1701,931,1286
2020-08-09T12:15:00+02:00,1683,941,1310
2020-08-08T12:15:00+02:00,1731,895,1304
2020-08-07T12:15:00+02:00,1722,916,1326
2020-08-06T12:15:00+02:00,1731,891,1278
2020-08-05T12:15:00+02:00,1723,910,1244
2020-08-04T12:15:00+02:00,1679,987,1199
2020-08-03T12:15:00+02:00,1666,1124,0
2020-08-02T12:15:00+02:00,1628,1133,0
2020-08-01T12:15:00+02:00,1719,1068,0
2020-07-31T12:15:00+02:00,1699,1092,0
2020-07-30T12:15:00+02:00,1730,1069,0
2020-07-29T12:15:00+02:00,1736,1063,0
2020-07-28T12:15:00+02:00,1718,1087,0
2020-07-27T12:15:00+02:00,1674,1136,0
2020-07-26T12:15:00+02:00,1647,1138,0
2020-07-25T12:15:00+02:00,1700,1087,0
2020-07-24T12:15:00+02:00,1729,1064,0
2020-07-23T12:15:00+02:00,1702,1041,0
2020-07-22T12:15:00+02:00,1697,1024,0
2020-07-21T12:15:00+02:00,1658,1038,0
2020-07-20T12:15:00+02:00,1640,1105,0
2020-07-19T12:15:00+02:00,1665,1052,0
2020-07-18T12:15:00+02:00,1699,1040,0
2020-07-17T12:15:00+02:00,1722,1022,0
2020-07-16T12:15:00+02:00,1736,999,0
2020-07-15T12:15:00+02:00,1739,1003,0
