date,Belegte Betten,Freie Betten,Notfallreserve
2020-12-01T12:15:00+01:00,541,164,254
2020-11-30T12:15:00+01:00,511,192,251
2020-11-29T12:15:00+01:00,512,184,250
2020-11-28T12:15:00+01:00,546,149,255
2020-11-27T12:15:00+01:00,544,155,252
2020-11-26T12:15:00+01:00,544,152,252
2020-11-25T12:15:00+01:00,545,155,253
2020-11-24T12:15:00+01:00,553,149,252
2020-11-23T12:15:00+01:00,530,186,262
2020-11-22T12:15:00+01:00,520,197,264
2020-11-21T12:15:00+01:00,548,168,265
2020-11-20T12:15:00+01:00,554,164,265
2020-11-19T12:15:00+01:00,545,174,263
2020-11-18T12:15:00+01:00,573,146,263
2020-11-17T12:15:00+01:00,557,158,259
2020-11-16T12:15:00+01:00,554,163,260
2020-11-15T12:15:00+01:00,560,160,260
2020-11-14T12:15:00+01:00,567,150,263
2020-11-13T12:15:00+01:00,569,153,260
2020-11-12T12:15:00+01:00,580,143,259
2020-11-11T12:15:00+01:00,559,168,259
2020-11-10T12:15:00+01:00,553,173,260
2020-11-09T12:15:00+01:00,536,183,256
2020-11-08T12:15:00+01:00,537,182,264
2020-11-07T12:15:00+01:00,546,181,260
2020-11-06T12:15:00+01:00,575,160,261
2020-11-05T12:15:00+01:00,573,161,270
2020-11-04T12:15:00+01:00,590,145,271
2020-11-03T12:15:00+01:00,526,162,259
2020-11-02T12:15:00+01:00,557,186,311
2020-11-01T12:15:00+01:00,558,180,308
2020-10-31T12:15:00+01:00,562,176,308
2020-10-30T12:15:00+01:00,566,179,305
2020-10-29T12:15:00+01:00,566,179,310
2020-10-28T12:15:00+01:00,585,164,304
2020-10-27T12:15:00+01:00,556,193,311
2020-10-26T12:15:00+01:00,547,212,305
2020-10-25T12:15:00+01:00,539,220,304
2020-10-24T12:15:00+02:00,568,180,304
2020-10-23T12:15:00+02:00,580,168,317
2020-10-22T12:15:00+02:00,542,226,309
2020-10-21T12:15:00+02:00,561,208,310
2020-10-20T12:15:00+02:00,555,232,301
2020-10-19T12:15:00+02:00,545,242,301
2020-10-18T12:15:00+02:00,550,237,299
2020-10-17T12:15:00+02:00,572,214,301
2020-10-16T12:15:00+02:00,565,221,303
2020-10-15T12:15:00+02:00,575,210,303
2020-10-14T12:15:00+02:00,576,211,301
2020-10-13T12:15:00+02:00,569,217,295
2020-10-12T12:15:00+02:00,547,239,298
2020-10-11T12:15:00+02:00,542,245,299
2020-10-10T12:15:00+02:00,575,229,299
2020-10-09T12:15:00+02:00,580,223,300
2020-10-08T12:15:00+02:00,577,226,300
2020-10-07T12:15:00+02:00,569,234,299
2020-10-06T12:15:00+02:00,575,229,299
2020-10-05T12:15:00+02:00,565,239,298
2020-10-04T12:15:00+02:00,581,225,295
2020-10-03T12:15:00+02:00,586,220,296
2020-10-02T12:15:00+02:00,588,218,295
2020-10-01T12:15:00+02:00,606,197,301
2020-09-30T12:15:00+02:00,610,193,301
2020-09-29T12:15:00+02:00,600,202,298
2020-09-28T12:15:00+02:00,585,218,295
2020-09-27T12:15:00+02:00,568,240,290
2020-09-26T12:15:00+02:00,576,230,296
2020-09-25T12:15:00+02:00,575,232,296
2020-09-24T12:15:00+02:00,586,223,296
2020-09-23T12:15:00+02:00,565,244,296
2020-09-22T12:15:00+02:00,560,249,297
2020-09-21T12:15:00+02:00,556,253,296
2020-09-20T12:15:00+02:00,572,261,297
2020-09-19T12:15:00+02:00,607,226,297
2020-09-18T12:15:00+02:00,635,198,297
2020-09-17T12:15:00+02:00,636,200,297
2020-09-16T12:15:00+02:00,606,229,297
2020-09-15T12:15:00+02:00,618,217,291
2020-09-14T12:15:00+02:00,582,253,297
2020-09-13T12:15:00+02:00,586,249,299
2020-09-12T12:15:00+02:00,610,231,304
2020-09-11T12:15:00+02:00,639,202,299
2020-09-10T12:15:00+02:00,632,208,295
2020-09-09T12:15:00+02:00,621,213,297
2020-09-08T12:15:00+02:00,612,222,295
2020-09-07T12:15:00+02:00,592,244,288
2020-09-06T12:15:00+02:00,602,232,295
2020-09-05T12:15:00+02:00,627,207,292
2020-09-04T12:15:00+02:00,622,212,294
2020-09-03T12:15:00+02:00,620,198,297
2020-09-02T12:15:00+02:00,614,204,301
2020-09-01T12:15:00+02:00,596,222,299
2020-08-31T12:15:00+02:00,584,237,301
2020-08-30T12:15:00+02:00,569,232,295
2020-08-29T12:15:00+02:00,592,209,299
2020-08-28T12:15:00+02:00,603,198,304
2020-08-27T12:15:00+02:00,608,197,312
2020-08-26T12:15:00+02:00,616,187,313
2020-08-25T12:15:00+02:00,627,194,318
2020-08-24T12:15:00+02:00,589,232,298
2020-08-23T12:15:00+02:00,585,236,300
2020-08-22T12:15:00+02:00,615,207,324
2020-08-21T12:15:00+02:00,623,201,319
2020-08-20T12:15:00+02:00,639,191,324
2020-08-19T12:15:00+02:00,625,208,319
2020-08-18T12:15:00+02:00,636,198,315
2020-08-17T12:15:00+02:00,604,229,314
2020-08-16T12:15:00+02:00,592,237,293
2020-08-15T12:15:00+02:00,600,231,298
