date,COVID-19-Fälle
2020-12-01T12:15:00+01:00,958
2020-11-30T12:15:00+01:00,966
2020-11-29T12:15:00+01:00,963
2020-11-28T12:15:00+01:00,961
2020-11-27T12:15:00+01:00,955
2020-11-26T12:15:00+01:00,964
2020-11-25T12:15:00+01:00,963
2020-11-24T12:15:00+01:00,978
2020-11-23T12:15:00+01:00,981
2020-11-22T12:15:00+01:00,974
2020-11-21T12:15:00+01:00,958
2020-11-20T12:15:00+01:00,934
2020-11-19T12:15:00+01:00,951
2020-11-18T12:15:00+01:00,935
2020-11-17T12:15:00+01:00,927
2020-11-16T12:15:00+01:00,920
2020-11-15T12:15:00+01:00,897
2020-11-14T12:15:00+01:00,877
2020-11-13T12:15:00+01:00,893
2020-11-12T12:15:00+01:00,860
2020-11-11T12:15:00+01:00,850
2020-11-10T12:15:00+01:00,842
2020-11-09T12:15:00+01:00,826
2020-11-08T12:15:00+01:00,805
2020-11-07T12:15:00+01:00,813
2020-11-06T12:15:00+01:00,785
2020-11-05T12:15:00+01:00,747
2020-11-04T12:15:00+01:00,735
2020-11-03T12:15:00+01:00,689
2020-11-02T12:15:00+01:00,639
2020-11-01T12:15:00+01:00,590
2020-10-31T12:15:00+01:00,580
2020-10-30T12:15:00+01:00,526
2020-10-29T12:15:00+01:00,471
2020-10-28T12:15:00+01:00,435
2020-10-27T12:15:00+01:00,411
2020-10-26T12:15:00+01:00,374
2020-10-25T12:15:00+01:00,353
2020-10-24T12:15:00+02:00,321
2020-10-23T12:15:00+02:00,295
2020-10-22T12:15:00+02:00,279
2020-10-21T12:15:00+02:00,256
2020-10-20T12:15:00+02:00,255
2020-10-19T12:15:00+02:00,245
2020-10-18T12:15:00+02:00,226
2020-10-17T12:15:00+02:00,209
2020-10-16T12:15:00+02:00,202
2020-10-15T12:15:00+02:00,195
2020-10-14T12:15:00+02:00,185
2020-10-13T12:15:00+02:00,198
2020-10-12T12:15:00+02:00,191
2020-10-11T12:15:00+02:00,174
2020-10-10T12:15:00+02:00,175
2020-10-09T12:15:00+02:00,168
2020-10-08T12:15:00+02:00,157
2020-10-07T12:15:00+02:00,141
2020-10-06T12:15:00+02:00,131
2020-10-05T12:15:00+02:00,128
2020-10-04T12:15:00+02:00,115
2020-10-03T12:15:00+02:00,109
2020-10-02T12:15:00+02:00,98
2020-10-01T12:15:00+02:00,94
2020-09-30T12:15:00+02:00,94
2020-09-29T12:15:00+02:00,91
2020-09-28T12:15:00+02:00,92
2020-09-27T12:15:00+02:00,88
2020-09-26T12:15:00+02:00,83
2020-09-25T12:15:00+02:00,84
2020-09-24T12:15:00+02:00,87
2020-09-23T12:15:00+02:00,89
2020-09-22T12:15:00+02:00,85
2020-09-21T12:15:00+02:00,86
2020-09-20T12:15:00+02:00,83
2020-09-19T12:15:00+02:00,80
2020-09-18T12:15:00+02:00,72
2020-09-17T12:15:00+02:00,70
2020-09-16T12:15:00+02:00,65
2020-09-15T12:15:00+02:00,67
2020-09-14T12:15:00+02:00,71
2020-09-13T12:15:00+02:00,80
2020-09-12T12:15:00+02:00,81
2020-09-11T12:15:00+02:00,82
2020-09-10T12:15:00+02:00,88
2020-09-09T12:15:00+02:00,83
2020-09-08T12:15:00+02:00,78
2020-09-07T12:15:00+02:00,77
2020-09-06T12:15:00+02:00,70
2020-09-05T12:15:00+02:00,70
2020-09-04T12:15:00+02:00,74
2020-09-03T12:15:00+02:00,84
2020-09-02T12:15:00+02:00,82
2020-09-01T12:15:00+02:00,81
2020-08-31T12:15:00+02:00,78
2020-08-30T12:15:00+02:00,78
2020-08-29T12:15:00+02:00,75
2020-08-28T12:15:00+02:00,80
2020-08-27T12:15:00+02:00,80
2020-08-26T12:15:00+02:00,83
2020-08-25T12:15:00+02:00,81
2020-08-24T12:15:00+02:00,86
2020-08-23T12:15:00+02:00,91
2020-08-22T12:15:00+02:00,85
2020-08-21T12:15:00+02:00,83
2020-08-20T12:15:00+02:00,79
2020-08-19T12:15:00+02:00,86
2020-08-18T12:15:00+02:00,86
2020-08-17T12:15:00+02:00,83
2020-08-16T12:15:00+02:00,75
2020-08-15T12:15:00+02:00,73
2020-08-14T12:15:00+02:00,79
2020-08-13T12:15:00+02:00,82
2020-08-12T12:15:00+02:00,74
2020-08-11T12:15:00+02:00,76
2020-08-10T12:15:00+02:00,71
2020-08-09T12:15:00+02:00,69
2020-08-08T12:15:00+02:00,71
2020-08-07T12:15:00+02:00,70
2020-08-06T12:15:00+02:00,72
2020-08-05T12:15:00+02:00,72
2020-08-04T12:15:00+02:00,77
2020-08-03T12:15:00+02:00,74
2020-08-02T12:15:00+02:00,83
2020-08-01T12:15:00+02:00,76
2020-07-31T12:15:00+02:00,69
2020-07-30T12:15:00+02:00,70
2020-07-29T12:15:00+02:00,69
2020-07-28T12:15:00+02:00,63
2020-07-27T12:15:00+02:00,64
2020-07-26T12:15:00+02:00,67
2020-07-25T12:15:00+02:00,59
2020-07-24T12:15:00+02:00,59
2020-07-23T12:15:00+02:00,56
2020-07-22T12:15:00+02:00,64
2020-07-21T12:15:00+02:00,66
2020-07-20T12:15:00+02:00,60
2020-07-19T12:15:00+02:00,65
2020-07-18T12:15:00+02:00,64
2020-07-17T12:15:00+02:00,63
2020-07-16T12:15:00+02:00,59
