date,Belegte Betten,Freie Betten,Notfallreserve
2020-12-01T12:15:00+01:00,5286,1256,2553
2020-11-30T12:15:00+01:00,5213,1318,2564
2020-11-29T12:15:00+01:00,5241,1260,2564
2020-11-28T12:15:00+01:00,5309,1230,2570
2020-11-27T12:15:00+01:00,5393,1155,2559
2020-11-26T12:15:00+01:00,5432,1132,2523
2020-11-25T12:15:00+01:00,5421,1165,2515
2020-11-24T12:15:00+01:00,5388,1200,2523
2020-11-23T12:15:00+01:00,5266,1309,2547
2020-11-22T12:15:00+01:00,5253,1353,2539
2020-11-21T12:15:00+01:00,5270,1316,2534
2020-11-20T12:15:00+01:00,5367,1254,2537
2020-11-19T12:15:00+01:00,5372,1244,2531
2020-11-18T12:15:00+01:00,5372,1249,2553
2020-11-17T12:15:00+01:00,5327,1296,2573
2020-11-16T12:15:00+01:00,5248,1350,2585
2020-11-15T12:15:00+01:00,5200,1376,2587
2020-11-14T12:15:00+01:00,5257,1319,2609
2020-11-13T12:15:00+01:00,5365,1259,2618
2020-11-12T12:15:00+01:00,5328,1344,2630
2020-11-11T12:15:00+01:00,5306,1371,2647
2020-11-10T12:15:00+01:00,5303,1364,2643
2020-11-09T12:15:00+01:00,5198,1475,2645
2020-11-08T12:15:00+01:00,5150,1477,2632
2020-11-07T12:15:00+01:00,5221,1410,2639
2020-11-06T12:15:00+01:00,5282,1400,2635
2020-11-05T12:15:00+01:00,5321,1436,2736
2020-11-04T12:15:00+01:00,5365,1423,2773
2020-11-03T12:15:00+01:00,5312,1491,2794
2020-11-02T12:15:00+01:00,5162,1665,2786
2020-11-01T12:15:00+01:00,5160,1658,2798
2020-10-31T12:15:00+01:00,5265,1570,2793
2020-10-30T12:15:00+01:00,5369,1508,2781
2020-10-29T12:15:00+01:00,5344,1547,2794
2020-10-28T12:15:00+01:00,5321,1575,2786
2020-10-27T12:15:00+01:00,5269,1608,2806
2020-10-26T12:15:00+01:00,5138,1737,2779
2020-10-25T12:15:00+01:00,5074,1735,2765
2020-10-24T12:15:00+02:00,5126,1680,2780
2020-10-23T12:15:00+02:00,5244,1599,2762
2020-10-22T12:15:00+02:00,5174,1717,2724
2020-10-21T12:15:00+02:00,5169,1862,2624
2020-10-20T12:15:00+02:00,5179,1958,2585
2020-10-19T12:15:00+02:00,5073,2071,2606
2020-10-18T12:15:00+02:00,5015,2084,2610
2020-10-17T12:15:00+02:00,5101,2011,2617
2020-10-16T12:15:00+02:00,5174,1974,2617
2020-10-15T12:15:00+02:00,5184,1976,2593
2020-10-14T12:15:00+02:00,5186,1947,2570
2020-10-13T12:15:00+02:00,5185,1963,2569
2020-10-12T12:15:00+02:00,5133,2023,2557
2020-10-11T12:15:00+02:00,5153,1957,2522
2020-10-10T12:15:00+02:00,5300,1841,2527
2020-10-09T12:15:00+02:00,5305,1830,2504
2020-10-08T12:15:00+02:00,5267,1848,2495
2020-10-07T12:15:00+02:00,5304,1845,2480
2020-10-06T12:15:00+02:00,5202,1965,2500
2020-10-05T12:15:00+02:00,5062,2109,2569
2020-10-04T12:15:00+02:00,5121,2020,2592
2020-10-03T12:15:00+02:00,5201,1946,2591
2020-10-02T12:15:00+02:00,5224,1962,2546
2020-10-01T12:15:00+02:00,5214,1991,2547
2020-09-30T12:15:00+02:00,5230,1993,2554
2020-09-29T12:15:00+02:00,5225,1991,2552
2020-09-28T12:15:00+02:00,5076,2127,2568
2020-09-27T12:15:00+02:00,5030,2119,2587
2020-09-26T12:15:00+02:00,5126,2038,2590
2020-09-25T12:15:00+02:00,5239,1953,2581
2020-09-24T12:15:00+02:00,5174,2002,2570
2020-09-23T12:15:00+02:00,5189,1986,2589
2020-09-22T12:15:00+02:00,5161,2006,2551
2020-09-21T12:15:00+02:00,5062,2096,2544
2020-09-20T12:15:00+02:00,5056,2103,2566
2020-09-19T12:15:00+02:00,5141,2020,2567
2020-09-18T12:15:00+02:00,5238,1962,2557
2020-09-17T12:15:00+02:00,5278,1948,2551
2020-09-16T12:15:00+02:00,5209,1977,2547
2020-09-15T12:15:00+02:00,5131,1984,2517
2020-09-14T12:15:00+02:00,5005,2078,2486
2020-09-13T12:15:00+02:00,5044,2004,2485
2020-09-12T12:15:00+02:00,5081,1958,2499
2020-09-11T12:15:00+02:00,5187,1908,2499
2020-09-10T12:15:00+02:00,5153,1938,2497
2020-09-09T12:15:00+02:00,5132,1917,2491
2020-09-08T12:15:00+02:00,5141,1932,2499
2020-09-07T12:15:00+02:00,4967,2096,2509
2020-09-06T12:15:00+02:00,5046,1998,2555
2020-09-05T12:15:00+02:00,5132,1932,2550
2020-09-04T12:15:00+02:00,5126,1968,2546
2020-09-03T12:15:00+02:00,5126,1965,2576
2020-09-02T12:15:00+02:00,5191,1905,2581
2020-09-01T12:15:00+02:00,5130,1953,2589
2020-08-31T12:15:00+02:00,5030,2038,2614
2020-08-30T12:15:00+02:00,4961,2052,2571
2020-08-29T12:15:00+02:00,5060,1967,2561
2020-08-28T12:15:00+02:00,5078,1998,2605
2020-08-27T12:15:00+02:00,5072,2025,2611
2020-08-26T12:15:00+02:00,5150,1944,2604
2020-08-25T12:15:00+02:00,5112,1980,2615
2020-08-24T12:15:00+02:00,4976,2085,2622
2020-08-23T12:15:00+02:00,5048,2002,2611
2020-08-22T12:15:00+02:00,5144,1928,2612
2020-08-21T12:15:00+02:00,5146,1948,2613
2020-08-20T12:15:00+02:00,5157,1954,2617
2020-08-19T12:15:00+02:00,5180,1937,2588
2020-08-18T12:15:00+02:00,5165,1931,2596
2020-08-17T12:15:00+02:00,5031,2048,2578
2020-08-16T12:15:00+02:00,4993,1999,2600
2020-08-15T12:15:00+02:00,5115,1883,2621
2020-08-14T12:15:00+02:00,5183,1856,2575
2020-08-13T12:15:00+02:00,5164,1822,2558
2020-08-12T12:15:00+02:00,5161,1875,2508
2020-08-11T12:15:00+02:00,5119,1885,2517
2020-08-10T12:15:00+02:00,5016,1960,2473
2020-08-09T12:15:00+02:00,5057,1984,2503
2020-08-08T12:15:00+02:00,5147,1905,2519
2020-08-07T12:15:00+02:00,5133,1953,2539
2020-08-06T12:15:00+02:00,5062,2011,2535
2020-08-05T12:15:00+02:00,5074,1998,2507
2020-08-04T12:15:00+02:00,5151,1974,2398
2020-08-03T12:15:00+02:00,4928,2316,0
2020-08-02T12:15:00+02:00,4996,2232,0
2020-08-01T12:15:00+02:00,5014,2188,0
2020-07-31T12:15:00+02:00,5008,2275,0
2020-07-30T12:15:00+02:00,5001,2262,0
2020-07-29T12:15:00+02:00,5003,2278,0
2020-07-28T12:15:00+02:00,5021,2255,0
2020-07-27T12:15:00+02:00,4914,2260,0
2020-07-26T12:15:00+02:00,4889,2259,0
2020-07-25T12:15:00+02:00,4891,2217,0
2020-07-24T12:15:00+02:00,4910,2177,0
2020-07-23T12:15:00+02:00,4889,2258,0
2020-07-22T12:15:00+02:00,4923,2187,0
2020-07-21T12:15:00+02:00,4897,2191,0
2020-07-20T12:15:00+02:00,4797,2304,0
2020-07-19T12:15:00+02:00,4745,2307,0
2020-07-18T12:15:00+02:00,4836,2235,0
2020-07-17T12:15:00+02:00,4940,2142,0
2020-07-16T12:15:00+02:00,4948,2136,0
2020-07-15T12:15:00+02:00,4885,2154,0
2020-07-14T12:15:00+02:00,4819,2244,0
2020-07-13T12:15:00+02:00,4724,2304,0
2020-07-12T12:15:00+02:00,4745,2245,0
2020-07-11T12:15:00+02:00,4847,2181,0
2020-07-10T12:15:00+02:00,4863,2155,0
2020-07-09T12:15:00+02:00,4855,2176,0
2020-07-08T12:15:00+02:00,4820,2228,0
2020-07-07T12:15:00+02:00,4803,2283,0
2020-07-06T12:15:00+02:00,4729,2310,0
2020-07-05T12:15:00+02:00,4690,2334,0
2020-07-04T12:15:00+02:00,4795,2201,0
2020-07-03T12:15:00+02:00,4904,2170,0
2020-07-02T12:15:00+02:00,4977,2126,0
2020-07-01T12:15:00+02:00,4999,2123,0
2020-06-30T12:15:00+02:00,4936,2149,0
2020-06-29T12:15:00+02:00,4834,2236,0
2020-06-28T12:15:00+02:00,4772,2270,0
2020-06-27T12:15:00+02:00,4888,2179,0
2020-06-26T12:15:00+02:00,4885,2112,0
2020-06-25T12:15:00+02:00,4859,2139,0
2020-06-24T12:15:00+02:00,4899,2091,0
2020-06-23T12:15:00+02:00,4783,2130,0
2020-06-22T12:15:00+02:00,4711,2194,0
2020-06-21T12:15:00+02:00,4690,2163,0
2020-06-20T12:15:00+02:00,4785,2040,0
2020-06-19T12:15:00+02:00,4850,2010,0
