date,Belegte Betten,Freie Betten,Notfallreserve
2020-12-01T12:15:00+01:00,2410,594,1523
2020-11-30T12:15:00+01:00,2343,660,1519
2020-11-29T12:15:00+01:00,2322,671,1521
2020-11-28T12:15:00+01:00,2388,609,1520
2020-11-27T12:15:00+01:00,2447,576,1515
2020-11-26T12:15:00+01:00,2395,614,1521
2020-11-25T12:15:00+01:00,2344,669,1525
2020-11-24T12:15:00+01:00,2348,678,1516
2020-11-23T12:15:00+01:00,2303,730,1527
2020-11-22T12:15:00+01:00,2307,694,1539
2020-11-21T12:15:00+01:00,2372,633,1538
2020-11-20T12:15:00+01:00,2401,619,1556
2020-11-19T12:15:00+01:00,2366,650,1556
2020-11-18T12:15:00+01:00,2349,664,1552
2020-11-17T12:15:00+01:00,2323,688,1552
2020-11-16T12:15:00+01:00,2279,744,1563
2020-11-15T12:15:00+01:00,2295,692,1564
2020-11-14T12:15:00+01:00,2327,669,1564
2020-11-13T12:15:00+01:00,2322,697,1549
2020-11-12T12:15:00+01:00,2349,697,1555
2020-11-11T12:15:00+01:00,2293,743,1568
2020-11-10T12:15:00+01:00,2286,750,1568
2020-11-09T12:15:00+01:00,2208,810,1581
2020-11-08T12:15:00+01:00,2225,800,1585
2020-11-07T12:15:00+01:00,2270,760,1587
2020-11-06T12:15:00+01:00,2293,750,1683
2020-11-05T12:15:00+01:00,2279,731,1655
2020-11-04T12:15:00+01:00,2274,736,1667
2020-11-03T12:15:00+01:00,2266,739,1659
2020-11-02T12:15:00+01:00,2235,791,1757
2020-11-01T12:15:00+01:00,2251,732,1730
2020-10-31T12:15:00+01:00,2279,777,1733
2020-10-30T12:15:00+01:00,2313,756,1734
2020-10-29T12:15:00+01:00,2315,760,1713
2020-10-28T12:15:00+01:00,2306,780,1738
2020-10-27T12:15:00+01:00,2308,809,1728
2020-10-26T12:15:00+01:00,2241,878,1713
2020-10-25T12:15:00+01:00,2247,876,1704
2020-10-24T12:15:00+02:00,2289,843,1707
2020-10-23T12:15:00+02:00,2315,841,1706
2020-10-22T12:15:00+02:00,2269,897,1706
2020-10-21T12:15:00+02:00,2273,910,1681
2020-10-20T12:15:00+02:00,2293,920,1671
2020-10-19T12:15:00+02:00,2207,1009,1666
2020-10-18T12:15:00+02:00,2233,962,1653
2020-10-17T12:15:00+02:00,2322,880,1654
2020-10-16T12:15:00+02:00,2336,873,1666
2020-10-15T12:15:00+02:00,2321,898,1666
2020-10-14T12:15:00+02:00,2307,925,1662
2020-10-13T12:15:00+02:00,2267,967,1515
2020-10-12T12:15:00+02:00,2220,1013,1520
2020-10-11T12:15:00+02:00,2245,974,1529
2020-10-10T12:15:00+02:00,2273,964,1527
2020-10-09T12:15:00+02:00,2315,906,1528
2020-10-08T12:15:00+02:00,2295,932,1526
2020-10-07T12:15:00+02:00,2311,915,1528
2020-10-06T12:15:00+02:00,2335,908,1525
2020-10-05T12:15:00+02:00,2266,976,1522
2020-10-04T12:15:00+02:00,2237,993,1510
2020-10-03T12:15:00+02:00,2313,917,1514
2020-10-02T12:15:00+02:00,2352,895,1525
2020-10-01T12:15:00+02:00,2378,868,1533
2020-09-30T12:15:00+02:00,2340,907,1544
2020-09-29T12:15:00+02:00,2348,951,1515
2020-09-28T12:15:00+02:00,2282,1012,1514
2020-09-27T12:15:00+02:00,2322,976,1517
2020-09-26T12:15:00+02:00,2410,898,1516
2020-09-25T12:15:00+02:00,2414,896,1520
2020-09-24T12:15:00+02:00,2389,931,1510
2020-09-23T12:15:00+02:00,2385,931,1512
2020-09-22T12:15:00+02:00,2356,982,1527
2020-09-21T12:15:00+02:00,2327,1032,1523
2020-09-20T12:15:00+02:00,2338,1013,1516
2020-09-19T12:15:00+02:00,2366,985,1499
2020-09-18T12:15:00+02:00,2418,941,1495
2020-09-17T12:15:00+02:00,2416,944,1493
2020-09-16T12:15:00+02:00,2408,959,1488
2020-09-15T12:15:00+02:00,2382,965,1498
2020-09-14T12:15:00+02:00,2294,1047,1502
2020-09-13T12:15:00+02:00,2341,990,1504
2020-09-12T12:15:00+02:00,2365,969,1495
2020-09-11T12:15:00+02:00,2388,939,1495
2020-09-10T12:15:00+02:00,2359,971,1499
2020-09-09T12:15:00+02:00,2395,938,1499
2020-09-08T12:15:00+02:00,2359,969,1503
2020-09-07T12:15:00+02:00,2297,1028,1508
2020-09-06T12:15:00+02:00,2290,1035,1611
2020-09-05T12:15:00+02:00,2383,942,1609
2020-09-04T12:15:00+02:00,2349,979,1503
2020-09-03T12:15:00+02:00,2375,966,1458
2020-09-02T12:15:00+02:00,2360,979,1462
2020-09-01T12:15:00+02:00,2357,980,1455
2020-08-31T12:15:00+02:00,2272,1041,1475
2020-08-30T12:15:00+02:00,2294,1010,1483
2020-08-29T12:15:00+02:00,2328,981,1482
2020-08-28T12:15:00+02:00,2353,953,1467
2020-08-27T12:15:00+02:00,2363,946,1465
2020-08-26T12:15:00+02:00,2342,989,1485
2020-08-25T12:15:00+02:00,2352,975,1486
2020-08-24T12:15:00+02:00,2262,1063,1475
2020-08-23T12:15:00+02:00,2249,1059,1460
2020-08-22T12:15:00+02:00,2297,1010,1475
2020-08-21T12:15:00+02:00,2382,977,1456
2020-08-20T12:15:00+02:00,2396,964,1441
2020-08-19T12:15:00+02:00,2378,964,1442
2020-08-18T12:15:00+02:00,2323,1013,1441
2020-08-17T12:15:00+02:00,2337,984,1447
