date,Belegte Betten,Freie Betten,Notfallreserve
2020-09-28T12:15:00+02:00,617,300,382
2020-09-27T12:15:00+02:00,617,298,382
2020-09-26T12:15:00+02:00,629,288,380
2020-09-25T12:15:00+02:00,628,288,385
2020-09-24T12:15:00+02:00,637,279,393
2020-09-23T12:15:00+02:00,657,259,392
2020-09-22T12:15:00+02:00,645,271,391
2020-09-21T12:15:00+02:00,604,313,384
2020-09-20T12:15:00+02:00,616,301,388
2020-09-19T12:15:00+02:00,618,302,389
2020-09-18T12:15:00+02:00,649,271,386
2020-09-17T12:15:00+02:00,663,257,390
2020-09-16T12:15:00+02:00,638,282,390
2020-09-15T12:15:00+02:00,633,287,386
2020-09-14T12:15:00+02:00,606,305,393
2020-09-13T12:15:00+02:00,620,295,395
2020-09-12T12:15:00+02:00,639,276,389
2020-09-11T12:15:00+02:00,663,252,382
2020-09-10T12:15:00+02:00,659,258,377
2020-09-09T12:15:00+02:00,627,290,383
2020-09-08T12:15:00+02:00,646,271,384
2020-09-07T12:15:00+02:00,624,286,374
2020-09-06T12:15:00+02:00,632,277,381
2020-09-05T12:15:00+02:00,641,268,382
2020-09-04T12:15:00+02:00,640,269,381
2020-09-03T12:15:00+02:00,643,268,377
2020-09-02T12:15:00+02:00,642,269,377
2020-09-01T12:15:00+02:00,635,271,381
2020-08-31T12:15:00+02:00,590,319,380
2020-08-30T12:15:00+02:00,601,306,385
2020-08-29T12:15:00+02:00,606,303,391
2020-08-28T12:15:00+02:00,615,295,393
2020-08-27T12:15:00+02:00,626,284,390
2020-08-26T12:15:00+02:00,653,259,386
2020-08-25T12:15:00+02:00,622,288,378
2020-08-24T12:15:00+02:00,595,307,384
2020-08-23T12:15:00+02:00,593,310,391
2020-08-22T12:15:00+02:00,638,268,395
2020-08-21T12:15:00+02:00,646,260,395
2020-08-20T12:15:00+02:00,631,275,387
2020-08-19T12:15:00+02:00,590,286,383
2020-08-18T12:15:00+02:00,580,295,384
2020-08-17T12:15:00+02:00,569,289,389
2020-08-16T12:15:00+02:00,584,278,386
2020-08-15T12:15:00+02:00,609,255,390
2020-08-14T12:15:00+02:00,641,258,395
2020-08-13T12:15:00+02:00,633,282,398
