date,Belegte Betten,Freie Betten,Notfallreserve
2020-12-01T12:15:00+01:00,1819,254,914
2020-11-30T12:15:00+01:00,1771,280,926
2020-11-29T12:15:00+01:00,1782,265,929
2020-11-28T12:15:00+01:00,1771,274,922
2020-11-27T12:15:00+01:00,1786,275,931
2020-11-26T12:15:00+01:00,1773,299,928
2020-11-25T12:15:00+01:00,1768,313,915
2020-11-24T12:15:00+01:00,1774,303,912
2020-11-23T12:15:00+01:00,1720,347,916
2020-11-22T12:15:00+01:00,1704,348,922
2020-11-21T12:15:00+01:00,1730,329,907
2020-11-20T12:15:00+01:00,1758,311,901
2020-11-19T12:15:00+01:00,1763,302,897
2020-11-18T12:15:00+01:00,1755,304,899
2020-11-17T12:15:00+01:00,1711,371,909
2020-11-16T12:15:00+01:00,1682,405,913
2020-11-15T12:15:00+01:00,1706,366,925
2020-11-14T12:15:00+01:00,1717,360,962
2020-11-13T12:15:00+01:00,1758,334,957
2020-11-12T12:15:00+01:00,1762,346,959
2020-11-11T12:15:00+01:00,1739,372,951
2020-11-10T12:15:00+01:00,1714,396,952
2020-11-09T12:15:00+01:00,1669,426,955
2020-11-08T12:15:00+01:00,1652,434,962
2020-11-07T12:15:00+01:00,1650,443,959
2020-11-06T12:15:00+01:00,1706,394,961
2020-11-05T12:15:00+01:00,1736,395,964
2020-11-04T12:15:00+01:00,1721,413,965
2020-11-03T12:15:00+01:00,1689,460,975
2020-11-02T12:15:00+01:00,1673,469,978
2020-11-01T12:15:00+01:00,1698,430,1005
2020-10-31T12:15:00+01:00,1739,383,1012
2020-10-30T12:15:00+01:00,1744,405,1004
2020-10-29T12:15:00+01:00,1749,419,1002
2020-10-28T12:15:00+01:00,1769,397,1020
2020-10-27T12:15:00+01:00,1772,400,1021
2020-10-26T12:15:00+01:00,1717,452,1005
2020-10-25T12:15:00+01:00,1709,446,1017
2020-10-24T12:15:00+02:00,1743,423,1016
2020-10-23T12:15:00+02:00,1751,426,1006
2020-10-22T12:15:00+02:00,1744,454,1018
2020-10-21T12:15:00+02:00,1737,496,993
2020-10-20T12:15:00+02:00,1750,526,985
2020-10-19T12:15:00+02:00,1671,585,988
2020-10-18T12:15:00+02:00,1664,596,979
2020-10-17T12:15:00+02:00,1699,571,976
2020-10-16T12:15:00+02:00,1710,581,986
2020-10-15T12:15:00+02:00,1732,543,989
2020-10-14T12:15:00+02:00,1724,550,989
2020-10-13T12:15:00+02:00,1711,563,988
2020-10-12T12:15:00+02:00,1692,575,986
2020-10-11T12:15:00+02:00,1703,552,979
2020-10-10T12:15:00+02:00,1718,530,978
2020-10-09T12:15:00+02:00,1716,547,1012
2020-10-08T12:15:00+02:00,1749,518,1017
2020-10-07T12:15:00+02:00,1745,529,1001
2020-10-06T12:15:00+02:00,1730,539,999
2020-10-05T12:15:00+02:00,1684,591,1002
2020-10-04T12:15:00+02:00,1704,570,1015
2020-10-03T12:15:00+02:00,1739,536,1015
2020-10-02T12:15:00+02:00,1761,541,1012
2020-10-01T12:15:00+02:00,1766,534,1009
2020-09-30T12:15:00+02:00,1777,531,1009
2020-09-29T12:15:00+02:00,1755,542,1000
2020-09-28T12:15:00+02:00,1672,631,1008
2020-09-27T12:15:00+02:00,1673,610,1009
2020-09-26T12:15:00+02:00,1723,564,1006
2020-09-25T12:15:00+02:00,1726,584,1008
