date,Belegte Betten,Freie Betten,Notfallreserve
2020-12-01T12:15:00+01:00,592,176,408
2020-11-30T12:15:00+01:00,585,181,409
2020-11-29T12:15:00+01:00,580,189,409
2020-11-28T12:15:00+01:00,584,182,409
2020-11-27T12:15:00+01:00,604,164,409
2020-11-26T12:15:00+01:00,589,173,409
2020-11-25T12:15:00+01:00,594,193,429
2020-11-24T12:15:00+01:00,599,188,424
2020-11-23T12:15:00+01:00,580,206,421
2020-11-22T12:15:00+01:00,583,203,421
2020-11-21T12:15:00+01:00,598,179,421
2020-11-20T12:15:00+01:00,588,191,420
2020-11-19T12:15:00+01:00,603,179,426
2020-11-18T12:15:00+01:00,604,191,426
2020-11-17T12:15:00+01:00,585,210,425
2020-11-16T12:15:00+01:00,569,236,414
2020-11-15T12:15:00+01:00,564,232,417
2020-11-14T12:15:00+01:00,573,203,434
2020-11-13T12:15:00+01:00,587,206,434
2020-11-12T12:15:00+01:00,573,238,435
2020-11-11T12:15:00+01:00,568,220,432
2020-11-10T12:15:00+01:00,582,210,429
2020-11-09T12:15:00+01:00,554,239,413
2020-11-08T12:15:00+01:00,539,252,406
2020-11-07T12:15:00+01:00,577,221,425
2020-11-06T12:15:00+01:00,587,216,416
2020-11-05T12:15:00+01:00,615,204,421
2020-11-04T12:15:00+01:00,609,205,436
2020-11-03T12:15:00+01:00,597,204,447
2020-11-02T12:15:00+01:00,537,283,445
2020-11-01T12:15:00+01:00,550,258,436
2020-10-31T12:15:00+01:00,569,242,430
2020-10-30T12:15:00+01:00,566,254,431
2020-10-29T12:15:00+01:00,596,223,431
2020-10-28T12:15:00+01:00,610,213,434
2020-10-27T12:15:00+01:00,602,225,431
2020-10-26T12:15:00+01:00,580,252,396
2020-10-25T12:15:00+01:00,588,281,419
2020-10-24T12:15:00+02:00,611,270,418
2020-10-23T12:15:00+02:00,632,248,421
2020-10-22T12:15:00+02:00,625,242,414
2020-10-21T12:15:00+02:00,608,280,433
2020-10-20T12:15:00+02:00,592,295,432
2020-10-19T12:15:00+02:00,575,316,430
2020-10-18T12:15:00+02:00,559,271,399
2020-10-17T12:15:00+02:00,588,246,400
2020-10-16T12:15:00+02:00,598,244,401
2020-10-15T12:15:00+02:00,571,271,427
2020-10-14T12:15:00+02:00,586,256,402
2020-10-13T12:15:00+02:00,608,235,400
2020-10-12T12:15:00+02:00,573,270,411
2020-10-11T12:15:00+02:00,565,278,410
2020-10-10T12:15:00+02:00,592,250,412
2020-10-09T12:15:00+02:00,595,248,411
2020-10-08T12:15:00+02:00,587,254,413
2020-10-07T12:15:00+02:00,590,254,413
2020-10-06T12:15:00+02:00,601,262,418
2020-10-05T12:15:00+02:00,579,277,416
2020-10-04T12:15:00+02:00,609,252,414
2020-10-03T12:15:00+02:00,640,260,453
2020-10-02T12:15:00+02:00,662,254,444
2020-10-01T12:15:00+02:00,664,253,437
2020-09-30T12:15:00+02:00,643,286,436
2020-09-29T12:15:00+02:00,642,294,436
2020-09-28T12:15:00+02:00,609,315,438
2020-09-27T12:15:00+02:00,623,306,438
2020-09-26T12:15:00+02:00,623,306,437
2020-09-25T12:15:00+02:00,650,284,438
2020-09-24T12:15:00+02:00,655,282,439
2020-09-23T12:15:00+02:00,605,318,446
2020-09-22T12:15:00+02:00,607,325,447
2020-09-21T12:15:00+02:00,605,323,447
2020-09-20T12:15:00+02:00,593,325,444
2020-09-19T12:15:00+02:00,618,300,440
2020-09-18T12:15:00+02:00,640,292,440
2020-09-17T12:15:00+02:00,646,286,442
2020-09-16T12:15:00+02:00,639,293,441
2020-09-15T12:15:00+02:00,636,292,441
2020-09-14T12:15:00+02:00,615,312,446
