date,Belegte Betten,Freie Betten,Notfallreserve
2020-12-01T12:15:00+01:00,1112,153,428
2020-11-30T12:15:00+01:00,1097,172,427
2020-11-29T12:15:00+01:00,1103,157,424
2020-11-28T12:15:00+01:00,1117,147,424
2020-11-27T12:15:00+01:00,1124,143,422
2020-11-26T12:15:00+01:00,1091,186,422
2020-11-25T12:15:00+01:00,1099,185,422
2020-11-24T12:15:00+01:00,1077,196,423
2020-11-23T12:15:00+01:00,1076,205,418
2020-11-22T12:15:00+01:00,1081,189,419
2020-11-21T12:15:00+01:00,1101,170,420
2020-11-20T12:15:00+01:00,1122,156,420
2020-11-19T12:15:00+01:00,1117,154,421
2020-11-18T12:15:00+01:00,1105,166,444
2020-11-17T12:15:00+01:00,1116,150,446
2020-11-16T12:15:00+01:00,1099,161,447
2020-11-15T12:15:00+01:00,1062,189,444
2020-11-14T12:15:00+01:00,1070,184,435
2020-11-13T12:15:00+01:00,1095,165,435
2020-11-12T12:15:00+01:00,1103,161,435
2020-11-11T12:15:00+01:00,1105,151,437
2020-11-10T12:15:00+01:00,1088,168,440
2020-11-09T12:15:00+01:00,1049,203,442
2020-11-08T12:15:00+01:00,1046,196,446
2020-11-07T12:15:00+01:00,1079,162,441
2020-11-06T12:15:00+01:00,1072,282,441
2020-11-05T12:15:00+01:00,1073,166,441
2020-11-04T12:15:00+01:00,1073,151,450
2020-11-03T12:15:00+01:00,1092,131,454
2020-11-02T12:15:00+01:00,1057,170,462
2020-11-01T12:15:00+01:00,1043,183,460
2020-10-31T12:15:00+01:00,1052,179,459
2020-10-30T12:15:00+01:00,1089,150,459
2020-10-29T12:15:00+01:00,1077,159,458
2020-10-28T12:15:00+01:00,1062,169,459
2020-10-27T12:15:00+01:00,1066,175,458
2020-10-26T12:15:00+01:00,1044,192,460
2020-10-25T12:15:00+01:00,1026,201,464
2020-10-24T12:15:00+02:00,1054,174,459
2020-10-23T12:15:00+02:00,1071,163,459
2020-10-22T12:15:00+02:00,1060,176,460
2020-10-21T12:15:00+02:00,1056,183,454
2020-10-20T12:15:00+02:00,1042,196,451
2020-10-19T12:15:00+02:00,1009,223,451
2020-10-18T12:15:00+02:00,1008,228,451
2020-10-17T12:15:00+02:00,1025,211,455
2020-10-16T12:15:00+02:00,1046,190,449
2020-10-15T12:15:00+02:00,1036,196,449
2020-10-14T12:15:00+02:00,1069,166,449
2020-10-13T12:15:00+02:00,1046,189,451
2020-10-12T12:15:00+02:00,1019,211,449
2020-10-11T12:15:00+02:00,1006,220,449
2020-10-10T12:15:00+02:00,1037,187,445
2020-10-09T12:15:00+02:00,1031,195,446
2020-10-08T12:15:00+02:00,1038,193,446
2020-10-07T12:15:00+02:00,1030,198,448
2020-10-06T12:15:00+02:00,1005,226,447
2020-10-05T12:15:00+02:00,996,235,445
2020-10-04T12:15:00+02:00,988,242,444
2020-10-03T12:15:00+02:00,1004,222,447
2020-10-02T12:15:00+02:00,1012,213,445
2020-10-01T12:15:00+02:00,1032,187,445
2020-09-30T12:15:00+02:00,1043,187,446
2020-09-29T12:15:00+02:00,1057,186,446
2020-09-28T12:15:00+02:00,1007,237,447
2020-09-27T12:15:00+02:00,1016,225,446
2020-09-26T12:15:00+02:00,1063,177,456
2020-09-25T12:15:00+02:00,1037,179,448
2020-09-24T12:15:00+02:00,1044,184,456
2020-09-23T12:15:00+02:00,1037,189,450
2020-09-22T12:15:00+02:00,1020,203,448
2020-09-21T12:15:00+02:00,1003,219,449
2020-09-20T12:15:00+02:00,1025,191,448
2020-09-19T12:15:00+02:00,1038,176,449
2020-09-18T12:15:00+02:00,1039,185,453
2020-09-17T12:15:00+02:00,1067,192,455
2020-09-16T12:15:00+02:00,1068,190,455
2020-09-15T12:15:00+02:00,1072,192,450
2020-09-14T12:15:00+02:00,1047,221,450
2020-09-13T12:15:00+02:00,1069,192,446
2020-09-12T12:15:00+02:00,1083,180,457
2020-09-11T12:15:00+02:00,1075,199,455
2020-09-10T12:15:00+02:00,1061,209,455
2020-09-09T12:15:00+02:00,1070,207,455
2020-09-08T12:15:00+02:00,1081,193,454
2020-09-07T12:15:00+02:00,1040,233,454
2020-09-06T12:15:00+02:00,1040,229,454
2020-09-05T12:15:00+02:00,1064,204,454
2020-09-04T12:15:00+02:00,1045,222,454
2020-09-03T12:15:00+02:00,1067,212,453
2020-09-02T12:15:00+02:00,1076,203,455
2020-09-01T12:15:00+02:00,1050,225,458
2020-08-31T12:15:00+02:00,1013,263,448
2020-08-30T12:15:00+02:00,1039,225,449
2020-08-29T12:15:00+02:00,1047,217,449
2020-08-28T12:15:00+02:00,1065,209,448
2020-08-27T12:15:00+02:00,1082,196,446
2020-08-26T12:15:00+02:00,1055,217,447
2020-08-25T12:15:00+02:00,1046,230,447
2020-08-24T12:15:00+02:00,1007,252,447
2020-08-23T12:15:00+02:00,1059,208,446
2020-08-22T12:15:00+02:00,1056,212,447
2020-08-21T12:15:00+02:00,1088,185,449
2020-08-20T12:15:00+02:00,1094,185,451
2020-08-19T12:15:00+02:00,1082,198,448
2020-08-18T12:15:00+02:00,1057,225,449
2020-08-17T12:15:00+02:00,1023,246,447
2020-08-16T12:15:00+02:00,1026,250,445
2020-08-15T12:15:00+02:00,1030,246,445
2020-08-14T12:15:00+02:00,1052,227,448
2020-08-13T12:15:00+02:00,1050,226,450
2020-08-12T12:15:00+02:00,1052,224,451
2020-08-11T12:15:00+02:00,1023,249,454
2020-08-10T12:15:00+02:00,985,283,452
2020-08-09T12:15:00+02:00,984,272,449
2020-08-08T12:15:00+02:00,1009,254,447
2020-08-07T12:15:00+02:00,1033,235,439
2020-08-06T12:15:00+02:00,1050,227,416
2020-08-05T12:15:00+02:00,1038,233,413
2020-08-04T12:15:00+02:00,996,300,441
2020-08-03T12:15:00+02:00,996,361,0
2020-08-02T12:15:00+02:00,1018,344,0
2020-08-01T12:15:00+02:00,1056,308,0
2020-07-31T12:15:00+02:00,1045,315,0
2020-07-30T12:15:00+02:00,1049,318,0
2020-07-29T12:15:00+02:00,1055,315,0
2020-07-28T12:15:00+02:00,1042,337,0
2020-07-27T12:15:00+02:00,1037,343,0
2020-07-26T12:15:00+02:00,1024,342,0
2020-07-25T12:15:00+02:00,1030,341,0
2020-07-24T12:15:00+02:00,1049,329,0
2020-07-23T12:15:00+02:00,1042,341,0
2020-07-22T12:15:00+02:00,1085,321,0
2020-07-21T12:15:00+02:00,1060,354,0
2020-07-20T12:15:00+02:00,1048,358,0
2020-07-19T12:15:00+02:00,1034,357,0
2020-07-18T12:15:00+02:00,1055,334,0
2020-07-17T12:15:00+02:00,1083,339,0
2020-07-16T12:15:00+02:00,1089,335,0
2020-07-15T12:15:00+02:00,1089,331,0
2020-07-14T12:15:00+02:00,1084,337,0
2020-07-13T12:15:00+02:00,1038,372,0
2020-07-12T12:15:00+02:00,1045,354,0
2020-07-11T12:15:00+02:00,1090,337,0
2020-07-10T12:15:00+02:00,1100,333,0
2020-07-09T12:15:00+02:00,1111,324,0
2020-07-08T12:15:00+02:00,1085,345,0
2020-07-07T12:15:00+02:00,1082,356,0
2020-07-06T12:15:00+02:00,1056,359,0
2020-07-05T12:15:00+02:00,1049,352,0
2020-07-04T12:15:00+02:00,1075,333,0
2020-07-03T12:15:00+02:00,1073,351,0
2020-07-02T12:15:00+02:00,1085,338,0
2020-07-01T12:15:00+02:00,1082,336,0
2020-06-30T12:15:00+02:00,1073,348,0
2020-06-29T12:15:00+02:00,1061,364,0
2020-06-28T12:15:00+02:00,1048,376,0
2020-06-27T12:15:00+02:00,1066,352,0
2020-06-26T12:15:00+02:00,1080,340,0
2020-06-25T12:15:00+02:00,1092,328,0
2020-06-24T12:15:00+02:00,1067,350,0
2020-06-23T12:15:00+02:00,1076,345,0
2020-06-22T12:15:00+02:00,1070,344,0
2020-06-21T12:15:00+02:00,1081,330,0
2020-06-20T12:15:00+02:00,1105,301,0
2020-06-19T12:15:00+02:00,1081,331,0
2020-06-18T12:15:00+02:00,1086,331,0
2020-06-17T12:15:00+02:00,1112,316,0
2020-06-16T12:15:00+02:00,1078,340,0
2020-06-15T12:15:00+02:00,1046,374,0
2020-06-14T12:15:00+02:00,1036,376,0
2020-06-13T12:15:00+02:00,1054,362,0
2020-06-12T12:15:00+02:00,1099,345,0
2020-06-11T12:15:00+02:00,1113,329,0
2020-06-10T12:15:00+02:00,1100,328,0
2020-06-09T12:15:00+02:00,1106,322,0
2020-06-08T12:15:00+02:00,1050,377,0
2020-06-07T12:15:00+02:00,1064,357,0
2020-06-06T12:15:00+02:00,1098,324,0
2020-06-05T12:15:00+02:00,1095,326,0
2020-06-04T12:15:00+02:00,1121,317,0
2020-06-03T12:15:00+02:00,1111,326,0
2020-06-02T12:15:00+02:00,1056,390,0
2020-06-01T12:15:00+02:00,1061,383,0
2020-05-31T12:15:00+02:00,1062,377,0
2020-05-30T12:15:00+02:00,1072,370,0
2020-05-29T12:15:00+02:00,1092,338,0
2020-05-28T12:15:00+02:00,1069,384,0
2020-05-27T12:15:00+02:00,1081,373,0
2020-05-26T12:15:00+02:00,1053,405,0
2020-05-25T12:15:00+02:00,1046,424,0
2020-05-24T12:15:00+02:00,1059,414,0
2020-05-23T12:15:00+02:00,1061,416,0
2020-05-22T12:15:00+02:00,1049,435,0
2020-05-21T12:15:00+02:00,1082,402,0
2020-05-20T12:15:00+02:00,1093,360,0
2020-05-19T12:15:00+02:00,1059,411,0
2020-05-18T12:15:00+02:00,1029,437,0
2020-05-17T12:15:00+02:00,1034,442,0
2020-05-16T12:15:00+02:00,1066,419,0
2020-05-15T12:15:00+02:00,1088,408,0
2020-05-14T12:15:00+02:00,1081,417,0
2020-05-13T12:15:00+02:00,1115,387,0
2020-05-12T12:15:00+02:00,1085,485,0
2020-05-11T12:15:00+02:00,1070,433,0
2020-05-10T12:15:00+02:00,1060,432,0
2020-05-09T12:15:00+02:00,1048,415,0
2020-05-08T12:15:00+02:00,1096,368,0
2020-05-07T12:15:00+02:00,1088,387,0
2020-05-06T12:15:00+02:00,1092,381,0
2020-05-05T12:15:00+02:00,1068,395,0
2020-05-04T12:15:00+02:00,1017,422,0
2020-05-03T12:15:00+02:00,1038,440,0
2020-05-02T12:15:00+02:00,1057,423,0
2020-05-01T12:15:00+02:00,1061,423,0
2020-04-30T12:15:00+02:00,1057,422,0
2020-04-29T12:15:00+02:00,1053,422,0
2020-04-28T12:15:00+02:00,1041,439,0
2020-04-27T12:15:00+02:00,1006,441,0
2020-04-26T12:15:00+02:00,990,457,0
2020-04-25T12:15:00+02:00,1019,425,0
2020-04-24T12:15:00+02:00,1050,399,0
2020-04-23T12:15:00+02:00,1031,407,0
2020-04-22T12:15:00+02:00,996,414,0
2020-04-21T12:15:00+02:00,963,403,0
2020-04-20T12:15:00+02:00,989,416,0
2020-04-19T12:15:00+02:00,937,454,0
2020-04-18T12:15:00+02:00,946,430,0
2020-04-17T12:15:00+02:00,919,459,0
2020-04-16T12:15:00+02:00,895,396,0
2020-04-15T12:15:00+02:00,827,352,0
2020-04-14T12:15:00+02:00,752,326,0
2020-04-13T12:15:00+02:00,783,345,0
2020-04-12T12:15:00+02:00,778,352,0
2020-04-11T12:15:00+02:00,773,348,0
2020-04-10T12:15:00+02:00,784,347,0
2020-04-09T12:15:00+02:00,796,375,0
2020-04-08T12:15:00+02:00,717,366,0
2020-04-07T12:15:00+02:00,724,361,0
2020-04-06T12:15:00+02:00,738,347,0
2020-04-05T12:15:00+02:00,711,338,0
2020-04-04T12:15:00+02:00,672,329,0
2020-04-03T12:15:00+02:00,699,301,0
2020-04-02T12:15:00+02:00,650,282,0
2020-04-01T12:15:00+02:00,622,277,0
2020-03-31T12:15:00+02:00,602,282,0
2020-03-30T12:15:00+02:00,483,248,0
2020-03-29T12:15:00+02:00,471,280,0
2020-03-28T12:15:00+01:00,480,254,0
2020-03-27T12:15:00+01:00,445,286,0
2020-03-26T12:15:00+01:00,434,246,0
2020-03-25T12:15:00+01:00,420,237,0
2020-03-24T12:15:00+01:00,392,240,0
2020-03-23T12:15:00+01:00,290,216,0
2020-03-22T12:15:00+01:00,281,218,0
2020-03-21T12:15:00+01:00,275,203,0
2020-03-20T12:15:00+01:00,114,157,0
