date,Belegte Betten,Freie Betten,Notfallreserve
2020-12-01T12:15:00+01:00,421,77,237
2020-11-30T12:15:00+01:00,406,81,247
2020-11-29T12:15:00+01:00,377,119,241
2020-11-28T12:15:00+01:00,383,115,241
2020-11-27T12:15:00+01:00,417,85,242
2020-11-26T12:15:00+01:00,424,78,242
2020-11-25T12:15:00+01:00,421,81,242
2020-11-24T12:15:00+01:00,401,100,242
2020-11-23T12:15:00+01:00,380,123,242
2020-11-22T12:15:00+01:00,377,120,244
2020-11-21T12:15:00+01:00,392,119,252
2020-11-20T12:15:00+01:00,400,160,207
2020-11-19T12:15:00+01:00,397,164,207
2020-11-18T12:15:00+01:00,394,153,206
2020-11-17T12:15:00+01:00,368,161,206
2020-11-16T12:15:00+01:00,341,186,229
2020-11-15T12:15:00+01:00,348,178,228
2020-11-14T12:15:00+01:00,359,167,226
2020-11-13T12:15:00+01:00,366,158,226
2020-11-12T12:15:00+01:00,364,166,226
2020-11-11T12:15:00+01:00,368,162,229
2020-11-10T12:15:00+01:00,370,159,231
2020-11-09T12:15:00+01:00,349,179,226
2020-11-08T12:15:00+01:00,343,194,228
2020-11-07T12:15:00+01:00,362,171,228
2020-11-06T12:15:00+01:00,363,170,228
2020-11-05T12:15:00+01:00,354,177,227
2020-11-04T12:15:00+01:00,350,180,224
2020-11-03T12:15:00+01:00,357,172,224
2020-11-02T12:15:00+01:00,346,184,224
2020-11-01T12:15:00+01:00,356,176,233
2020-10-31T12:15:00+01:00,372,160,239
2020-10-30T12:15:00+01:00,371,162,243
2020-10-29T12:15:00+01:00,365,168,241
2020-10-28T12:15:00+01:00,354,178,238
2020-10-27T12:15:00+01:00,365,165,238
2020-10-26T12:15:00+01:00,344,185,241
2020-10-25T12:15:00+01:00,357,171,237
2020-10-24T12:15:00+02:00,362,175,232
2020-10-23T12:15:00+02:00,376,164,232
2020-10-22T12:15:00+02:00,382,159,232
2020-10-21T12:15:00+02:00,377,179,232
2020-10-20T12:15:00+02:00,356,210,229
2020-10-19T12:15:00+02:00,361,204,229
2020-10-18T12:15:00+02:00,369,195,223
2020-10-17T12:15:00+02:00,374,191,223
2020-10-16T12:15:00+02:00,370,196,223
2020-10-15T12:15:00+02:00,365,201,222
2020-10-14T12:15:00+02:00,364,202,223
2020-10-13T12:15:00+02:00,367,199,229
2020-10-12T12:15:00+02:00,362,204,223
2020-10-11T12:15:00+02:00,368,198,223
2020-10-10T12:15:00+02:00,383,183,223
2020-10-09T12:15:00+02:00,397,170,223
2020-10-08T12:15:00+02:00,401,165,223
2020-10-07T12:15:00+02:00,400,166,223
2020-10-06T12:15:00+02:00,400,166,223
2020-10-05T12:15:00+02:00,381,185,223
2020-10-04T12:15:00+02:00,370,195,226
2020-10-03T12:15:00+02:00,393,173,225
2020-10-02T12:15:00+02:00,388,178,223
2020-10-01T12:15:00+02:00,388,179,223
2020-09-30T12:15:00+02:00,395,171,223
