date,Belegte Betten,Freie Betten,Notfallreserve
2020-12-01T12:15:00+01:00,716,240,411
2020-11-30T12:15:00+01:00,720,243,416
2020-11-29T12:15:00+01:00,707,242,446
2020-11-28T12:15:00+01:00,717,236,446
2020-11-27T12:15:00+01:00,749,221,446
2020-11-26T12:15:00+01:00,716,252,456
2020-11-25T12:15:00+01:00,713,263,458
2020-11-24T12:15:00+01:00,717,258,458
2020-11-23T12:15:00+01:00,696,280,459
2020-11-22T12:15:00+01:00,729,254,459
2020-11-21T12:15:00+01:00,733,242,458
2020-11-20T12:15:00+01:00,744,232,457
2020-11-19T12:15:00+01:00,740,239,453
2020-11-18T12:15:00+01:00,763,224,459
2020-11-17T12:15:00+01:00,749,240,454
2020-11-16T12:15:00+01:00,705,276,456
2020-11-15T12:15:00+01:00,718,257,455
2020-11-14T12:15:00+01:00,731,238,454
2020-11-13T12:15:00+01:00,730,244,457
2020-11-12T12:15:00+01:00,727,242,456
2020-11-11T12:15:00+01:00,745,240,461
2020-11-10T12:15:00+01:00,733,256,466
2020-11-09T12:15:00+01:00,717,268,470
2020-11-08T12:15:00+01:00,696,280,468
2020-11-07T12:15:00+01:00,704,268,468
2020-11-06T12:15:00+01:00,714,277,466
2020-11-05T12:15:00+01:00,733,260,470
2020-11-04T12:15:00+01:00,731,277,470
2020-11-03T12:15:00+01:00,741,259,472
2020-11-02T12:15:00+01:00,710,295,466
2020-11-01T12:15:00+01:00,705,298,467
2020-10-31T12:15:00+01:00,723,292,467
2020-10-30T12:15:00+01:00,730,280,468
2020-10-29T12:15:00+01:00,715,296,468
2020-10-28T12:15:00+01:00,721,289,482
2020-10-27T12:15:00+01:00,720,290,472
2020-10-26T12:15:00+01:00,707,299,470
2020-10-25T12:15:00+01:00,711,292,470
2020-10-24T12:15:00+02:00,733,279,472
2020-10-23T12:15:00+02:00,741,290,456
2020-10-22T12:15:00+02:00,731,301,454
2020-10-21T12:15:00+02:00,734,306,448
2020-10-20T12:15:00+02:00,727,321,397
2020-10-19T12:15:00+02:00,713,337,400
2020-10-18T12:15:00+02:00,708,351,399
